"";"ID";"AT";"ARG";"SIL";"AD";"fit.m1";"fit.m2";"res.m1";"res.m2"
"210";"ZARC_210";13;45;42;1,07;1,45285368544389;1,39846227596072;-0,382853685443888;-0,328462275960716
"211";"ZARC_211";43;45;12;0,99;1,0579895925106;1,04979954451002;-0,0679895925106029;-0,0597995445100226
"212";"ZARC_212";15;45;40;0,98;1,40532870019021;1,34674742410751;-0,425328700190213;-0,36674742410751
"213";"ZARC_213";8;45;47;0,98;1,58491659382273;1,55119482985948;-0,604916593822735;-0,57119482985948
"214";"ZARC_214";7;45;48;0,94;1,61360068039759;1,58609332313696;-0,673600680397588;-0,646093323136964
"215";"ZARC_215";46;45;9;0,91;1,05598301405217;1,05773076068003;-0,145983014052169;-0,147730760680033
"216";"ZARC_216";47;45;8;0,9;1,05682849116541;1,06199501983874;-0,156828491165415;-0,161995019838745
"217";"ZARC_217";26;45;29;0,88;1,19807881472318;1,14360308940391;-0,318078814723184;-0,263603089403907
"218";"ZARC_218";39;45;16;0,85;1,07126538665091;1,05045654465824;-0,221265386650909;-0,200456544658239
"219";"ZARC_219";14;45;41;0,85;1,4287126086672;1,37197356958589;-0,578712608667203;-0,521973569585889
"220";"ZARC_220";29;45;26;0,78;1,15745665298031;1,1091742313778;-0,377456652980313;-0,329174231377804
"221";"ZARC_221";34;45;21;0,74;1,10489641606943;1,06940379794316;-0,364896416069425;-0,329403797943164
"222";"ZARC_222";32;45;23;0,7;1,1236490059347;1,08274915864264;-0,423649005934696;-0,38274915864264
"223";"ZARC_223";10;45;45;1,72;1,52981992557211;1,48588116444692;0,190180074427889;0,234118835553075
"224";"ZARC_224";9;44;47;2,02;1,58104398730377;1,5422476765896;0,43895601269623;0,477752323410396
"225";"ZARC_225";37;44;19;1,6;1,08888998799754;1,05815607985657;0,511110012002458;0,541843920143426
"226";"ZARC_226";45;44;11;1,4;1,05436543013607;1,04773535397491;0,345634569863929;0,352264646025086
"227";"ZARC_227";35;44;21;1,34;1,10488854902623;1,06854515912863;0,235111450973774;0,271454840871371
"228";"ZARC_228";51;44;5;1,24;1,05941518230589;1,07244442549638;0,18058481769411;0,167555574503622
"229";"ZARC_229";20;44;36;1,2;1,31881238167361;1,25564848477374;-0,118812381673614;-0,0556484847737408
"230";"ZARC_230";16;44;40;1,2;1,40385493898685;1,3428451844557;-0,203854938986848;-0,142845184455701
"231";"ZARC_231";19;44;37;1,19;1,33896790776743;1,27578668186428;-0,148967907767425;-0,0857866818642776
"232";"ZARC_232";40;44;16;1,09;1,070417712627;1,04845719981938;0,0195822873729957;0,0415428001806193
"233";"ZARC_233";14;44;42;1,07;1,45079667058145;1,39339426082387;-0,380796670581453;-0,323394260823874
"234";"ZARC_234";15;44;41;1,06;1,42695743370598;1,36751371492511;-0,366957433705985;-0,307513714925108
"235";"ZARC_235";30;44;26;0,87;1,15777793933373;1,10870884664707;-0,287777939333734;-0,238708846647069
"236";"ZARC_236";34;44;22;0,86;1,11399294277506;1,07493694542315;-0,253992942775064;-0,214936945423155
"237";"ZARC_237";49;44;7;0,51;1,05478496295729;1,06106143554728;-0,544784962957291;-0,551061435547276
"238";"ZARC_238";41;44;15;0,5;1,06573377181615;1,04677415355879;-0,565733771816155;-0,546774153558792
"239";"ZARC_239";50;44;6;0,47;1,05673170155342;1,06635407845058;-0,586731701553425;-0,59635407845058
"240";"ZARC_240";48;44;8;0,43;1,05357496651749;1,05655903986499;-0,623574966517489;-0,626559039864993
"241";"ZARC_241";9;44;47;2,25;1,58104398730377;1,5422476765896;0,668956012696231;0,707752323410396
"242";"ZARC_242";16;44;40;1,44;1,40385493898685;1,3428451844557;0,0361450610131522;0,0971548155442989
"243";"ZARC_243";29;43;28;1,85;1,18422630811645;1,13002014420397;0,665773691883552;0,719979855796033
"244";"ZARC_244";46;43;11;1,55;1,05164550396707;1,04319745764437;0,498354496032934;0,506802542355627
